workload,share_rate,acl_mix,policy,kv_gib,num_blocks,concurrency,requests,prompt_tokens,cached_tokens,cached_pct,recomputed_tokens,evictions,stalls,max_table_size,unauthorized_hits,probe_requests,probe_unauthorized_hits,probe_cached_tokens,mean_prompt_tokens,wall_s
w_share0.00_mix-restrictive_u20_s0,0.0,0.20/0.40/0.40,B0,4,4681,4,400,601503,0,0.0,601503,33940,0,4678,0,89,0,6560,1503.8,1.2
w_share0.00_mix-restrictive_u20_s0,0.0,0.20/0.40/0.40,B0,4,4681,16,400,601503,0,0.0,601503,33952,0,4668,0,89,0,6560,1503.8,1.35
w_share0.00_mix-restrictive_u20_s0,0.0,0.20/0.40/0.40,B1,1,1170,4,400,601503,22928,3.81,578575,36018,0,1167,0,89,0,6208,1503.8,0.21
w_share0.00_mix-restrictive_u20_s0,0.0,0.20/0.40/0.40,B1,1,1170,16,400,601503,22720,3.78,578783,36038,388,1161,0,89,0,6208,1503.8,0.36
w_share0.00_mix-restrictive_u20_s0,0.0,0.20/0.40/0.40,B1,2,2340,4,400,601503,37648,6.26,563855,33928,0,2337,0,89,0,6336,1503.8,0.51
w_share0.00_mix-restrictive_u20_s0,0.0,0.20/0.40/0.40,B1,2,2340,16,400,601503,37536,6.24,563967,33947,0,2327,0,89,0,6336,1503.8,0.65
w_share0.00_mix-restrictive_u20_s0,0.0,0.20/0.40/0.40,B1,4,4681,4,400,601503,56800,9.44,544703,30390,0,4678,0,89,0,6560,1503.8,0.8
w_share0.00_mix-restrictive_u20_s0,0.0,0.20/0.40/0.40,B1,4,4681,16,400,601503,56768,9.44,544735,30404,0,4668,0,89,0,6560,1503.8,0.95
w_share0.00_mix-restrictive_u20_s0,0.0,0.20/0.40/0.40,B2,1,1170,4,400,601503,36592,6.08,564911,35164,0,1167,0,89,0,6208,1503.8,0.21
w_share0.00_mix-restrictive_u20_s0,0.0,0.20/0.40/0.40,B2,1,1170,16,400,601503,36528,6.07,564975,35175,388,1161,0,89,0,6208,1503.8,0.35
w_share0.00_mix-restrictive_u20_s0,0.0,0.20/0.40/0.40,B2,2,2340,4,400,601503,47184,7.84,554319,33332,0,2337,0,89,0,6336,1503.8,0.51
w_share0.00_mix-restrictive_u20_s0,0.0,0.20/0.40/0.40,B2,2,2340,16,400,601503,46800,7.78,554703,33368,0,2327,0,89,0,6336,1503.8,0.66
w_share0.00_mix-restrictive_u20_s0,0.0,0.20/0.40/0.40,B2,4,4681,4,400,601503,62624,10.41,538879,30026,0,4678,0,89,0,6560,1503.8,0.81
w_share0.00_mix-restrictive_u20_s0,0.0,0.20/0.40/0.40,B2,4,4681,16,400,601503,62624,10.41,538879,30038,0,4668,0,89,0,6560,1503.8,0.96
w_share0.00_mix-restrictive_u20_s0,0.0,0.20/0.40/0.40,B3,1,1170,4,400,601503,39616,6.59,561887,34975,0,1167,0,89,0,6208,1503.8,0.22
w_share0.00_mix-restrictive_u20_s0,0.0,0.20/0.40/0.40,B3,1,1170,16,400,601503,39520,6.57,561983,34988,388,1161,0,89,0,6208,1503.8,0.37
w_share0.00_mix-restrictive_u20_s0,0.0,0.20/0.40/0.40,B3,2,2340,4,400,601503,55456,9.22,546047,32815,0,2337,0,89,0,6336,1503.8,0.52
w_share0.00_mix-restrictive_u20_s0,0.0,0.20/0.40/0.40,B3,2,2340,16,400,601503,55072,9.16,546431,32851,0,2327,0,89,0,6336,1503.8,0.67
w_share0.00_mix-restrictive_u20_s0,0.0,0.20/0.40/0.40,B3,4,4681,4,400,601503,76928,12.79,524575,29132,0,4678,0,89,0,6976,1503.8,0.82
w_share0.00_mix-restrictive_u20_s0,0.0,0.20/0.40/0.40,B3,4,4681,16,400,601503,76736,12.76,524767,29156,0,4668,0,89,0,6976,1503.8,0.98
w_share0.00_mix-restrictive_u20_s0,0.0,0.20/0.40/0.40,B4,1,1170,4,400,601503,34112,5.67,567391,35319,0,1167,0,89,0,5904,1503.8,0.24
w_share0.00_mix-restrictive_u20_s0,0.0,0.20/0.40/0.40,B4,1,1170,16,400,601503,34112,5.67,567391,35326,388,1161,0,89,0,5904,1503.8,0.39
w_share0.00_mix-restrictive_u20_s0,0.0,0.20/0.40/0.40,B4,2,2340,4,400,601503,42016,6.99,559487,33655,0,2337,0,89,0,6032,1503.8,0.54
w_share0.00_mix-restrictive_u20_s0,0.0,0.20/0.40/0.40,B4,2,2340,16,400,601503,41840,6.96,559663,33678,0,2327,0,89,0,6032,1503.8,0.7
w_share0.00_mix-restrictive_u20_s0,0.0,0.20/0.40/0.40,B4,4,4681,4,400,601503,53088,8.83,548415,30622,0,4678,0,89,0,6288,1503.8,0.85
w_share0.00_mix-restrictive_u20_s0,0.0,0.20/0.40/0.40,B4,4,4681,16,400,601503,52960,8.8,548543,30642,0,4668,0,89,0,6288,1503.8,1.0
w_share0.00_mix-restrictive_u20_s0,0.0,0.20/0.40/0.40,B5,1,1170,4,400,601503,30224,5.02,571279,35562,0,1167,0,89,0,5504,1503.8,0.23
w_share0.00_mix-restrictive_u20_s0,0.0,0.20/0.40/0.40,B5,1,1170,16,400,601503,30224,5.02,571279,35569,388,1161,0,89,0,5504,1503.8,0.38
w_share0.00_mix-restrictive_u20_s0,0.0,0.20/0.40/0.40,B5,2,2340,4,400,601503,38128,6.34,563375,33898,0,2337,0,89,0,5632,1503.8,0.53
w_share0.00_mix-restrictive_u20_s0,0.0,0.20/0.40/0.40,B5,2,2340,16,400,601503,37952,6.31,563551,33921,0,2327,0,89,0,5632,1503.8,0.68
w_share0.00_mix-restrictive_u20_s0,0.0,0.20/0.40/0.40,B5,4,4681,4,400,601503,48256,8.02,553247,30924,0,4678,0,89,0,5888,1503.8,0.84
w_share0.00_mix-restrictive_u20_s0,0.0,0.20/0.40/0.40,B5,4,4681,16,400,601503,48256,8.02,553247,30936,0,4668,0,89,0,5888,1503.8,1.0
w_share0.00_mix-restrictive_u20_s0,0.0,0.20/0.40/0.40,UB,1,1170,4,400,601503,39616,6.59,561887,34975,0,1167,0,89,6989,134176,1503.8,0.2
